polish,french
je,ja
de,z
est,Wschód
pas,nie
vous,TY
la,Tam
tu,Ty
que,To
un,A
il,On
et,I
à,Do
a,Do
ne,urodzić się
ce,Ten
en,W
on,My
ça,To
une,A
ai,Posiadać
pour,Dla
des,z
moi,Ja
qui,Kto
nous,My
y,Y
mais,Ale
me,Ja
dans,W
du,z
bien,DOBRY
elle,Ona
si,czy
tout,Wszystko
plus,więcej
non,NIE
mon,Mój
suis,jestem  
te,Ty
au,Na 
avec,z
va,wchodzi
oui,Tak
toi,Ty
fait,Do
ils,Oni
as,JAK
être,Być
faire,DO ZROBIENIA
se,se
comme,Jak
était,był
sur,NA
quoi,Co
ici,Tutaj
sais,wiedzieć
lui,jego
veux,chcieć
ma,Mój
là,Tam
rien,Nic
dit,powiedział
es,es
où,Lub
votre,twój
pourquoi,Dlaczego
sont,Czy
cette,Ten
quand,Gdy
par,przez
son,jej
ton,twój
peux,Móc
vais,Iść
dire,mowić
alors,WIĘC
comment,Jak
avez,Posiadać
bon,Dobry
ou,Lub
très,bardzo
merci,DZIĘKI
ont,Posiadać
même,nawet
jamais,Nigdy
aussi,Również
voir,Widzieć
chose,rzecz
allez,Kontynuować
tous,Wszystko
deux,dwa
ces,te
faut,musieć
sa,jej
êtes,Czy
été,lato
ta,twój
fais,Do 
avoir,mieć
peut,Móc
autre,Inny
encore,Ponownie
maintenant,TERAZ
peu,mały
mes,Mój
vraiment,Naprawdę
temps,czas
notre,NASZ
toujours,zawsze
vie,życie
sans,bez
juste,Tylko
oh,Oh
avait,miał
accord,OK
vu,widziany
monde,świat
quelque,Niektóre
fois,czas
aller,Iść
trop,zbyt
viens,przychodzić
crois,uważać
dieu,Bóg
dois,musieć
homme,Mężczyzna
père,ojciec
sûr,NA
aux,Do
leur,ich
avant,Zanim
étais,Jest
besoin,potrzebować
femme,kobiety
aime,tak jak
personne,osoba
avais,miał
chez,w domu
vrai,PRAWDA
ans,lata
mal,zło
ses,jego
parler,rozmawiać
vos,twój
après,Po
mort,martwy
veut,chcieć
personne,osoba
avais,miał
chez,w domu
vrai,PRAWDA
ans,lata
mal,zło
ses,jego
parler,rozmawiać
vos,twój
après,Po
mort,martwy
veut,chcieć